Sl. No.,Image Filename,Anomaly,Anomaly,Classification of Image,Image Classification Level 2,Image Classification Level 1,,Tr/Te,,,,,
1744,Cluster-Safe-\\17\\image-960.jpg,1,Anomaly,Issue,,#N/A,2,Train,,,,,
1776,Cluster-Safe-\\17\\image-1243.jpg,1,Anomaly,Issue,,#N/A,2,Train,,,,,
183,Cluster-Safe-\\0\\image-1537.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
195,Cluster-Safe-\\0\\image-1602.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
266,Cluster-Safe-\\2\\image-127.jpg,0,Normal,Potential Risk,,#N/A,2,Train,,,,,
309,Cluster-Safe-\\2\\image-472.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,2,Train,,,,,
337,Cluster-Safe-\\2\\image-625.jpg,1,Anomaly,Risk,Special Mechanical Systems,Mechanical,2,Train,,,,,
559,Cluster-Safe-\\3\\image-353.jpg,1,Anomaly,Risk,F10 Special Construction,F SPECIAL CONSTRUCTION & DEMOLITION,2,Train,,,,,
632,Cluster-Safe-\\3\\image-1078.jpg,1,Anomaly,Risk,F10 Special Construction,F SPECIAL CONSTRUCTION & DEMOLITION,2,Train,,,,,
654,Cluster-Safe-\\3\\image-1266.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
661,Cluster-Safe-\\3\\image-1316.jpg,1,Anomaly,Risk,Special Mechanical Systems,Mechanical,2,Train,,,,,
684,Cluster-Safe-\\3\\image-1539.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
748,Cluster-Safe-\\6\\image-81.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,2,Train,,,,,
1027,Cluster-Safe-\\8\\image-425.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
1095,Cluster-Safe-\\8\\image-996.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
1182,Cluster-Safe-\\9\\image-57.jpeg,1,Anomaly,Issue,,#N/A,2,Train,,,,,
1211,Cluster-Safe-\\9\\image-465.jpg,1,Anomaly,Risk,,#N/A,2,Train,,,,,
1252,Cluster-Safe-\\9\\image-885.jpg,0,Normal,Potential Risk,,#N/A,2,Train,,,,,
1313,Cluster-Safe-\\9\\image-1600.jpg,0,Normal,Potential Risk,,#N/A,2,Train,,,,,
1407,Cluster-Safe-\\13\\image-813.jpg,1,Anomaly,Risk,,#N/A,2,Train,,,,,
1414,Cluster-Safe-\\13\\image-890.jpg,1,Anomaly,Issue,,#N/A,2,Train,,,,,
1444,Cluster-Safe-\\13\\image-1197.jpg,0,Normal,Potential Risk,,#N/A,2,Train,,,,,
1608,Cluster-Safe-\\14\\image-1460.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
1677,Cluster-Safe-\\17\\image-118.jpg,1,Anomaly,Risk,,#N/A,2,Train,,,,,
1733,Cluster-Safe-\\17\\image-841.jpg,0,Normal,Potential Risk,,#N/A,2,Train,,,,,
1811,Cluster-Safe-\\17\\image-1629.jpg,0,Normal,Potential Risk,,#N/A,2,Train,,,,,
128,Cluster-Safe-\\0\\image-1066.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
170,Cluster-Safe-\\0\\image-1428.jpg,0,Normal,Potential Risk,,#N/A,2,Train,,,,,
198,Cluster-Safe-\\0\\image-1627.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
402,Cluster-Safe-\\2\\image-1097.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
440,Cluster-Safe-\\2\\image-1357.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
576,Cluster-Safe-\\3\\image-580.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,2,Train,,,,,
902,Cluster-Safe-\\6\\image-1335.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
1132,Cluster-Safe-\\8\\image-1352.jpg,0,Normal,Potential Risk,,#N/A,2,Train,,,,,
1173,Cluster-Safe-\\8\\image-1953.jpg,1,Anomaly,Issue,,#N/A,2,Train,,,,,
1191,Cluster-Safe-\\9\\image-176.jpg,1,Anomaly,Issue,,#N/A,2,Train,,,,,
1279,Cluster-Safe-\\9\\image-1255.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
1349,Cluster-Safe-\\13\\image-117.jpg,1,Anomaly,Risk,,#N/A,2,Train,,,,,
1488,Cluster-Safe-\\13\\image-1772.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
1501,Cluster-Safe-\\13\\image-1896.jpg,1,Anomaly,Issue,,#N/A,2,Train,,,,,
1515,Cluster-Safe-\\14\\image-60.jpg,1,Anomaly,Issue,,#N/A,2,Train,,,,,
1566,Cluster-Safe-\\14\\image-850.jpg,1,Anomaly,Risk,,#N/A,2,Train,,,,,
1614,Cluster-Safe-\\14\\image-1514.jpg,0,Normal,Potential Risk,,#N/A,2,Train,,,,,
1672,Cluster-Safe-\\17\\image-97.jpg,0,Normal,Potential Risk,,#N/A,2,Train,,,,,
1801,Cluster-Safe-\\17\\image-1554.jpg,1,Anomaly,Risk,,#N/A,2,Train,,,,,
180,Cluster-Safe-\\0\\image-1486.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,2,Train,,,,,
268,Cluster-Safe-\\2\\image-165.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,2,Train,,,,,
321,Cluster-Safe-\\2\\image-542.jpg,1,Anomaly,Risk,Special Mechanical Systems,Mechanical,2,Train,,,,,
412,Cluster-Safe-\\2\\image-1162.jpg,1,Anomaly,Risk,Special Mechanical Systems,Mechanical,2,Train,,,,,
503,Cluster-Safe-\\2\\image-1837.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
673,Cluster-Safe-\\3\\image-1448.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
727,Cluster-Safe-\\3\\image-1963.jpg,1,Anomaly,Risk,Special Mechanical Systems,Mechanical,2,Train,,,,,
888,Cluster-Safe-\\6\\image-1267.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
1070,Cluster-Safe-\\8\\image-777.jpg,1,Anomaly,Issue,,#N/A,2,Train, ,,,,
1096,Cluster-Safe-\\8\\image-1016.jpg,1,Anomaly,Issue,,#N/A,2,Train,,,,,
1109,Cluster-Safe-\\8\\image-1120.jpg,1,Anomaly,Risk,,#N/A,2,Train,,,,,
1328,Cluster-Safe-\\9\\image-1823.jpg,1,Anomaly,Risk,,#N/A,2,Train,,,,,
1483,Cluster-Safe-\\13\\image-1736.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
1596,Cluster-Safe-\\14\\image-1296.jpg,1,Anomaly,Risk,,#N/A,2,Train,,,,,
1807,Cluster-Safe-\\17\\image-1599.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
1,Cluster-Safe-\\0\\image-3.jpeg,0,Normal,Potential Issue,A10 Foundations,A SUBSTRUCTURE,2,Train,,,,,
30,Cluster-Safe-\\0\\image-190.jpg,0,Normal,Potential Issue,EQUIPMENT,E EQUIPMENT & FURNISHINGS,2,Train,,,,,
89,Cluster-Safe-\\0\\image-666.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,2,Train,,,,,
210,Cluster-Safe-\\0\\image-1727.jpg,0,Normal,Potential Risk,,#N/A,2,Train,,,,,
427,Cluster-Safe-\\2\\image-1259.jpg,1,Anomaly,Risk,G30 Site Mechanical Utilities,G BUILDING SITEWORK,2,Train,,,,,
502,Cluster-Safe-\\2\\image-1834.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
609,Cluster-Safe-\\3\\image-870.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
763,Cluster-Safe-\\6\\image-217.jpg,1,Anomaly,Risk,,#N/A,2,Train,,,,,
881,Cluster-Safe-\\6\\image-1223.jpg,0,Normal,Potential Risk,,#N/A,2,Train,,,,,
907,Cluster-Safe-\\6\\image-1378.jpg,0,Normal,No Issue,,#N/A,2,Train,,,,,
1126,Cluster-Safe-\\8\\image-1312.jpg,1,Anomaly,Risk,,#N/A,2,Train,,,,,
1198,Cluster-Safe-\\9\\image-247.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
1229,Cluster-Safe-\\9\\image-627.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
1258,Cluster-Safe-\\9\\image-953.jpg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
1559,Cluster-Safe-\\14\\image-747.jpg,1,Anomaly,Risk,,#N/A,2,Train,,,,,
1560,Cluster-Safe-\\14\\image-758.jpg,0,Normal,Potential Risk,,#N/A,2,Train,,,,,
1593,Cluster-Safe-\\14\\image-1274.jpg,0,Normal,Potential Risk,,#N/A,2,Train,,,,,
1616,Cluster-Safe-\\14\\image-1523.jpg,1,Anomaly,Risk,,#N/A,2,Train,,,,,
1669,Cluster-Safe-\\17\\image-27.jpeg,0,Normal,Potential Issue,,#N/A,2,Train,,,,,
1772,Cluster-Safe-\\17\\image-1161.jpg,0,Normal,Potential Risk,,#N/A,2,Train,,,,,
11,Cluster-Safe-\\0\\image-76.jpg,0,Normal,Potential Issue,EQUIPMENT,E EQUIPMENT & FURNISHINGS,3,Train,,,,,
249,Cluster-Safe-\\0\\image-1992.jpg,1,Anomaly,Risk,D30 HVAC,D SERVICES,3,Train,,,,,
267,Cluster-Safe-\\2\\image-159.jpg,0,Normal,Potential Risk,,#N/A,3,Train,,,,,
665,Cluster-Safe-\\3\\image-1368.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
705,Cluster-Safe-\\3\\image-1762.jpg,1,Anomaly,Risk,Special Mechanical Systems,Mechanical,3,Train,,,,,
808,Cluster-Safe-\\6\\image-541.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
841,Cluster-Safe-\\6\\image-849.jpg,0,Normal,Potential Risk,,#N/A,3,Train,,,,,
989,Cluster-Safe-\\8\\image-93.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
995,Cluster-Safe-\\8\\image-150.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
1062,Cluster-Safe-\\8\\image-739.jpg,0,Normal,Potential Risk,,#N/A,3,Train,,,,,
1140,Cluster-Safe-\\8\\image-1452.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
1204,Cluster-Safe-\\9\\image-341.jpg,0,Normal,Potential Risk,,#N/A,3,Train,,,,,
1234,Cluster-Safe-\\9\\image-659.jpg,0,Normal,Potential Risk,,#N/A,3,Train,,,,,
1248,Cluster-Safe-\\9\\image-817.jpg,0,Normal,Potential Risk,,#N/A,3,Train,,,,,
1267,Cluster-Safe-\\9\\image-1150.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
1271,Cluster-Safe-\\9\\image-1212.jpg,1,Anomaly,Issue,,#N/A,3,Train,,,,,
1278,Cluster-Safe-\\9\\image-1248.jpg,0,Normal,Potential Risk,,#N/A,3,Train,,,,,
1435,Cluster-Safe-\\13\\image-1142.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
1496,Cluster-Safe-\\13\\image-1862.jpg,0,Normal,Potential Risk,,#N/A,3,Train,,,,,
1497,Cluster-Safe-\\13\\image-1864.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
1612,Cluster-Safe-\\14\\image-1501.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
27,Cluster-Safe-\\0\\image-177.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,3,Train,,,,,
70,Cluster-Safe-\\0\\image-469.jpg,1,Anomaly,Risk,G30 Site Mechanical Utilities,G BUILDING SITEWORK,3,Train,,,,,
163,Cluster-Safe-\\0\\image-1380.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
193,Cluster-Safe-\\0\\image-1593.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,3,Train,,,,,
234,Cluster-Safe-\\0\\image-1854.jpg,1,Anomaly,Risk,D30 HVAC,D SERVICES,3,Train,,,,,
296,Cluster-Safe-\\2\\image-367.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
557,Cluster-Safe-\\3\\image-343.jpg,1,Anomaly,Risk,Special Mechanical Systems,Mechanical,3,Train,,,,,
570,Cluster-Safe-\\3\\image-504.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
608,Cluster-Safe-\\3\\image-869.jpg,0,Normal,Potential Risk,,#N/A,3,Train,,,,,
660,Cluster-Safe-\\3\\image-1314.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
733,Cluster-Safe-\\3\\image-1993.jpg,0,Normal,Potential Risk,,#N/A,3,Train,,,,,
770,Cluster-Safe-\\6\\image-302.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
1002,Cluster-Safe-\\8\\image-224.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
1167,Cluster-Safe-\\8\\image-1902.jpg,1,Anomaly,Issue,,#N/A,3,Train,,,,,
1180,Cluster-Safe-\\9\\image-33.jpeg,1,Anomaly,Issue,,#N/A,3,Train,,,,,
1286,Cluster-Safe-\\9\\image-1326.jpg,1,Anomaly,Issue,,#N/A,3,Train,,,,,
1292,Cluster-Safe-\\9\\image-1381.jpg,1,Anomaly,Issue,,#N/A,3,Train,,,,,
1381,Cluster-Safe-\\13\\image-454.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
1487,Cluster-Safe-\\13\\image-1761.jpg,1,Anomaly,Issue,,#N/A,3,Train,,,,,
1569,Cluster-Safe-\\14\\image-898.jpg,1,Anomaly,Risk,,#N/A,3,Train,,,,,
1784,Cluster-Safe-\\17\\image-1346.jpg,1,Anomaly,Issue,,#N/A,3,Train,,,,,
1826,Cluster-Safe-\\17\\image-1785.jpg,1,Anomaly,Issue,,#N/A,3,Train,,,,,
236,Cluster-Safe-\\0\\image-1890.jpg,1,Anomaly,Risk,Special Mechanical Systems,Mechanical,3,Train,,,,,
328,Cluster-Safe-\\2\\image-563.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,3,Train,,,,,
531,Cluster-Safe-\\3\\image-129.jpg,0,Normal,Potential Risk,,#N/A,3,Train,,,,,
572,Cluster-Safe-\\3\\image-514.jpg,1,Anomaly,Issue,B20 Exterior Enclosure,B SHELL,3,Train,,,,,
589,Cluster-Safe-\\3\\image-714.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
590,Cluster-Safe-\\3\\image-720.jpg,1,Anomaly,Risk,F10 Special Construction,F SPECIAL CONSTRUCTION & DEMOLITION,3,Train,,,,,
838,Cluster-Safe-\\6\\image-839.jpg,1,Anomaly,Risk,Special Mechanical Systems,Mechanical,3,Train,,,,,
920,Cluster-Safe-\\6\\image-1441.jpg,1,Anomaly,Risk,,#N/A,3,Train,,,,,
927,Cluster-Safe-\\6\\image-1499.jpg,1,Anomaly,Risk,,#N/A,3,Train,,,,,
982,Cluster-Safe-\\8\\image-46.jpeg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
1059,Cluster-Safe-\\8\\image-692.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
1333,Cluster-Safe-\\9\\image-1939.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
1473,Cluster-Safe-\\13\\image-1610.jpg,1,Anomaly,Risk,,#N/A,3,Train,,,,,
1592,Cluster-Safe-\\14\\image-1246.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
1665,Cluster-Safe-\\14\\image-1976.jpg,1,Anomaly,Issue,,#N/A,3,Train,,,,,
1731,Cluster-Safe-\\17\\image-827.jpg,0,Normal,Potential Risk,,#N/A,3,Train,,,,,
140,Cluster-Safe-\\0\\image-1205.jpg,0,Normal,Potential Risk,,#N/A,3,Train,,,,,
224,Cluster-Safe-\\0\\image-1794.jpg,1,Anomaly,Risk,Special Mechanical Systems,Mechanical,3,Train,,,,,
263,Cluster-Safe-\\2\\image-71.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
353,Cluster-Safe-\\2\\image-743.jpg,1,Anomaly,Risk,G30 Site Mechanical Utilities,G BUILDING SITEWORK,3,Train,,,,,
627,Cluster-Safe-\\3\\image-1039.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
783,Cluster-Safe-\\6\\image-385.jpg,1,Anomaly,Issue,Special Mechanical Systems,Mechanical,3,Train,,,,,
817,Cluster-Safe-\\6\\image-608.jpg,1,Anomaly,Risk,Special Mechanical Systems,Mechanical,3,Train,,,,,
938,Cluster-Safe-\\6\\image-1592.jpg,1,Anomaly,Risk,,#N/A,3,Train,,,,,
997,Cluster-Safe-\\8\\image-173.jpg,0,Normal,Potential Risk,,#N/A,3,Train,,,,,
1013,Cluster-Safe-\\8\\image-331.jpg,1,Anomaly,Issue,,#N/A,3,Train,,,,,
1016,Cluster-Safe-\\8\\image-346.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
1112,Cluster-Safe-\\8\\image-1131.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
1251,Cluster-Safe-\\9\\image-842.jpg,1,Anomaly,Issue,,#N/A,3,Train,,,,,
1302,Cluster-Safe-\\9\\image-1491.jpg,1,Anomaly,Issue,,#N/A,3,Train,,,,,
1400,Cluster-Safe-\\13\\image-740.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
1423,Cluster-Safe-\\13\\image-1038.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
1617,Cluster-Safe-\\14\\image-1524.jpg,1,Anomaly,Risk,,#N/A,3,Train,,,,,
1703,Cluster-Safe-\\17\\image-485.jpg,1,Anomaly,Risk,,#N/A,3,Train,,,,,
23,Cluster-Safe-\\0\\image-134.jpg,0,Normal,Potential Risk,Special Mechanical Systems,Mechanical,3,Train,,,,,
44,Cluster-Safe-\\0\\image-316.jpg,0,Normal,Potential Risk,,#N/A,3,Train,,,,,
48,Cluster-Safe-\\0\\image-362.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
241,Cluster-Safe-\\0\\image-1938.jpg,0,Normal,Potential Risk,Special Mechanical Systems,Mechanical,3,Train,,,,,
421,Cluster-Safe-\\2\\image-1220.jpg,1,Anomaly,Issue,Special Mechanical Systems,Mechanical,3,Train,,,,,
699,Cluster-Safe-\\3\\image-1685.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
749,Cluster-Safe-\\6\\image-82.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,3,Train,,,,,
781,Cluster-Safe-\\6\\image-380.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,3,Train,,,,,
924,Cluster-Safe-\\6\\image-1467.jpg,0,Normal,Potential Risk,,#N/A,3,Train,,,,,
1224,Cluster-Safe-\\9\\image-579.jpg,1,Anomaly,Risk,,#N/A,3,Train,,,,,
1779,Cluster-Safe-\\17\\image-1294.jpg,1,Anomaly,Risk,,#N/A,3,Train,,,,,
101,Cluster-Safe-\\0\\image-822.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
102,Cluster-Safe-\\0\\image-824.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
151,Cluster-Safe-\\0\\image-1278.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
244,Cluster-Safe-\\0\\image-1957.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
262,Cluster-Safe-\\2\\image-68.jpg,0,Normal,Potential Risk,,#N/A,3,Train,,,,,
364,Cluster-Safe-\\2\\image-826.jpg,0,Normal,Potential Risk,,#N/A,3,Train,,,,,
415,Cluster-Safe-\\2\\image-1193.jpg,1,Anomaly,Risk,Special Mechanical Systems,Mechanical,3,Train,,,,,
492,Cluster-Safe-\\2\\image-1759.jpg,0,Normal,Potential Risk,,#N/A,3,Train,,,,,
534,Cluster-Safe-\\3\\image-137.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
595,Cluster-Safe-\\3\\image-759.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
714,Cluster-Safe-\\3\\image-1815.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
736,Cluster-Safe-\\6\\image-5.jpeg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,3,Train,,,,,
1038,Cluster-Safe-\\8\\image-543.jpg,0,Normal,Potential Risk,,#N/A,3,Train,,,,,
1121,Cluster-Safe-\\8\\image-1249.jpg,1,Anomaly,Issue,,#N/A,3,Train,,,,,
1139,Cluster-Safe-\\8\\image-1443.jpg,0,Normal,No Issue,,#N/A,3,Train,,,,,
1176,Cluster-Safe-\\8\\image-1987.jpg,0,Normal,Potential Risk,,#N/A,3,Train,,,,,
1199,Cluster-Safe-\\9\\image-251.jpg,0,Normal,Potential Risk,,#N/A,3,Train,,,,,
1245,Cluster-Safe-\\9\\image-806.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
1434,Cluster-Safe-\\13\\image-1141.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
1581,Cluster-Safe-\\14\\image-1034.jpg,1,Anomaly,Risk,,#N/A,3,Train,,,,,
1620,Cluster-Safe-\\14\\image-1544.jpg,1,Anomaly,Risk,,#N/A,3,Train,,,,,
76,Cluster-Safe-\\0\\image-575.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,3,Train,,,,,
100,Cluster-Safe-\\0\\image-820.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
265,Cluster-Safe-\\2\\image-91.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
325,Cluster-Safe-\\2\\image-555.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
394,Cluster-Safe-\\2\\image-1050.jpg,1,Anomaly,Risk,G10 Site Preparation,G BUILDING SITEWORK,3,Train,,,,,
528,Cluster-Safe-\\3\\image-95.jpg,0,Normal,No Issue,,#N/A,3,Train,,,,,
546,Cluster-Safe-\\3\\image-229.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
550,Cluster-Safe-\\3\\image-263.jpg,0,Normal,Potential Risk,,#N/A,3,Train,,,,,
596,Cluster-Safe-\\3\\image-767.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
623,Cluster-Safe-\\3\\image-984.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,3,Train,,,,,
636,Cluster-Safe-\\3\\image-1125.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
693,Cluster-Safe-\\3\\image-1623.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
741,Cluster-Safe-\\6\\image-17.jpeg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
843,Cluster-Safe-\\6\\image-889.jpg,0,Normal,Potential Risk,,#N/A,3,Train,,,,,
878,Cluster-Safe-\\6\\image-1196.jpg,0,Normal,Potential Risk,,#N/A,3,Train,,,,,
977,Cluster-Safe-\\6\\image-1945.jpg,0,Normal,Potential Risk,,#N/A,3,Train,,,,,
1343,Cluster-Safe-\\13\\image-28.jpeg,1,Anomaly,Issue,,#N/A,3,Train,,,,,
1530,Cluster-Safe-\\14\\image-326.jpg,1,Anomaly,Risk,,#N/A,3,Train,,,,,
1694,Cluster-Safe-\\17\\image-329.jpg,0,Normal,Potential Risk,,#N/A,3,Train,,,,,
1799,Cluster-Safe-\\17\\image-1546.jpg,0,Normal,Potential Risk,,#N/A,3,Train,,,,,
47,Cluster-Safe-\\0\\image-330.jpg,0,Normal,Potential Risk,,#N/A,3,Train,,,,,
112,Cluster-Safe-\\0\\image-937.jpg,1,Anomaly,Risk,D30 HVAC,D SERVICES,3,Train,,,,,
117,Cluster-Safe-\\0\\image-962.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
142,Cluster-Safe-\\0\\image-1213.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
150,Cluster-Safe-\\0\\image-1264.jpg,0,Normal,Potential Risk,,#N/A,3,Train,,,,,
216,Cluster-Safe-\\0\\image-1751.jpg,1,Anomaly,Risk,G10 Site Preparation,G BUILDING SITEWORK,3,Train,,,,,
343,Cluster-Safe-\\2\\image-660.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
401,Cluster-Safe-\\2\\image-1091.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
445,Cluster-Safe-\\2\\image-1412.jpg,1,Anomaly,Risk,Special Mechanical Systems,Mechanical,3,Train,,,,,
685,Cluster-Safe-\\3\\image-1557.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
694,Cluster-Safe-\\3\\image-1626.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
811,Cluster-Safe-\\6\\image-551.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
832,Cluster-Safe-\\6\\image-726.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,3,Train,,,,,
836,Cluster-Safe-\\6\\image-807.jpg,1,Anomaly,Risk,Special Mechanical Systems,Mechanical,3,Train,,,,,
886,Cluster-Safe-\\6\\image-1247.jpg,1,Anomaly,Risk,,#N/A,3,Train,,,,,
1107,Cluster-Safe-\\8\\image-1110.jpg,1,Anomaly,Issue,,#N/A,3,Train,,,,,
1160,Cluster-Safe-\\8\\image-1832.jpg,0,Normal,Potential Risk,,#N/A,3,Train,,,,,
1383,Cluster-Safe-\\13\\image-476.jpg,1,Anomaly,Issue,,#N/A,3,Train,,,,,
64,Cluster-Safe-\\0\\image-453.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
85,Cluster-Safe-\\0\\image-632.jpg,0,Normal,Potential Risk,,#N/A,3,Train,,,,,
115,Cluster-Safe-\\0\\image-955.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
290,Cluster-Safe-\\2\\image-307.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
335,Cluster-Safe-\\2\\image-620.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,3,Train,,,,,
424,Cluster-Safe-\\2\\image-1234.jpg,0,Normal,Potential Risk,,#N/A,3,Train,,,,,
439,Cluster-Safe-\\2\\image-1350.jpg,1,Anomaly,Risk,Special Mechanical Systems,Mechanical,3,Train,,,,,
509,Cluster-Safe-\\2\\image-1875.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
514,Cluster-Safe-\\2\\image-1922.jpg,0,Normal,Potential Issue,A10 Foundations,A SUBSTRUCTURE,3,Train,,,,,
637,Cluster-Safe-\\3\\image-1129.jpg,0,Normal,Potential Risk,,#N/A,3,Train,,,,,
643,Cluster-Safe-\\3\\image-1176.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,3,Train,,,,,
743,Cluster-Safe-\\6\\image-29.jpeg,0,Normal,Potential Issue,B20 Exterior Enclosure,B SHELL,3,Train,,,,,
780,Cluster-Safe-\\6\\image-360.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,3,Train,,,,,
829,Cluster-Safe-\\6\\image-721.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
917,Cluster-Safe-\\6\\image-1433.jpg,1,Anomaly,Risk,,#N/A,3,Train,,,,,
1156,Cluster-Safe-\\8\\image-1777.jpg,1,Anomaly,Issue,,#N/A,3,Train,,,,,
